state,division,region,pop,popgrow,popden,pcturban,faminc,hsng,hsnggrow,hsngval,rent,reg1,reg2,reg3,reg4
Alabama,E.S.C.,South,3893888,13.1,767,60.035446,16347,1467374,30.987583,33900,188,0,0,1,0
Alaska,Pacific,West,401851,32.799999,7,64.344002,28395,162825,79.269379,75200,368,0,0,0,1
Arizona,Mountain,West,2718215,53.099998,239,83.831779,19017,1110558,89.595581,56600,263,0,0,0,1
Arkansas,W.S.C.,South,2286435,18.9,439,51.58931,14641,898593,33.002724,31100,185,0,0,1,0
California,Pacific,West,23667902,18.5,1514,91.294975,21537,9279036,32.554363,84700,283,0,0,0,1
Colorado,Mountain,West,2889964,30.799999,279,80.619308,21279,1194253,57.587471,64600,252,0,0,0,1
Connecticut,N. Eng.,NE,3107576,2.5,6379,78.832314,23149,1158884,18.060356,67400,261,1,0,0,0
Deleware,S. Atl.,South,594338,8.3999996,3076,70.636406,20817,238611,32.390293,44600,247,0,0,1,0
Florida,S. Atl.,South,9746324,43.5,1800,84.26136,17280,4378691,73.235397,45300,256,0,0,1,0
Georgia,S. Atl.,South,5463105,19.1,941,62.401894,17414,2028350,37.912254,36900,211,0,0,1,0
Hawaii,Pacific,West,964691,25.299999,1501,86.513924,22750,334235,54.35397,119400,311,0,0,0,1
Idaho,Mountain,West,943935,32.400002,115,53.997574,17492,375127,53.34903,45900,219,0,0,0,1
Illinois,E.N.C.,N Cntrl,11426518,2.8,2053,83.297806,22746,4319672,16.670668,53900,246,0,1,0,0
Indiana,E.N.C.,N Cntrl,5490224,5.6999998,1528,64.210457,20535,2091795,20.878349,37200,219,0,1,0,0
Iowa,W.N.C.,N Cntrl,2913808,3.0999999,521,58.625412,20052,1131299,17.31901,40600,225,0,1,0,0
Kansas,W.N.C.,N Cntrl,2363679,5.0999999,289,66.671448,19707,954906,20.914738,37800,219,0,1,0,0
Kentucky,E.S.C.,South,3660777,13.7,923,50.868519,16444,1369125,28.577345,34200,198,0,0,1,0
Louisiana,W.S.C.,South,4205900,15.4,945,68.649017,18088,1548419,34.533993,43000,214,0,0,1,0
Maine,N. Eng.,NE,1124660,13.2,363,47.487419,16167,501093,26.162062,37900,216,1,0,0,0
Maryland,S. Atl.,South,4216975,7.5,4287,80.307686,23112,1570907,25.691263,59200,266,0,0,1,0
Massachusetts,N. Eng.,NE,5737037,.80000001,7332,83.812233,21166,2208146,16.808401,48500,255,1,0,0,0
Michigan,E.N.C.,N Cntrl,9262078,4.3000002,1626,70.735214,22107,3589912,21.391417,39000,250,0,1,0,0
Minnesota,W.N.C.,N Cntrl,4075970,7.0999999,512,66.860207,21185,1612960,26.352863,54300,236,0,1,0,0
Mississippi,E.S.C.,South,2520638,13.7,534,47.321552,14591,911627,30.385538,31400,180,0,0,1,0
Missouri,W.N.C.,N Cntrl,4916686,5.0999999,713,68.126945,18784,1988915,18.837826,36700,211,0,1,0,0
Montana,Mountain,West,786690,13.3,54,52.930889,18413,328465,33.195866,46400,200,0,0,0,1
N. Carolina,S. Atl.,South,5881766,15.7,1204,47.993271,16792,2274737,38.533264,36000,205,0,0,1,0
N. Dakota,W.N.C.,N Cntrl,652717,5.6999998,94,48.766922,18023,258772,26.703062,43800,206,0,1,0,0
Nebraska,W.N.C.,N Cntrl,1569825,5.6999998,205,62.927971,19122,624829,21.201288,38000,213,0,1,0,0
Nevada,Mountain,West,800493,63.799999,73,85.315796,21311,339949,97.005646,69200,310,0,0,0,1
New Hampshire,N. Eng.,NE,920610,24.799999,1024,52.174644,19723,386381,37.520733,48000,251,1,0,0,0
New Jersey,Mid Atl,NE,7364823,2.7,9862,89.036453,22906,2772149,16.053158,61400,270,1,0,0,0
New Mexico,Mountain,West,1302894,28.1,107,72.144241,16928,507513,55.627277,45400,216,0,0,0,1
New York,Mid Atl,NE,17558072,-3.5999999,3706,84.622437,20180,6867638,9.0155954,45900,249,1,0,0,0
Ohio,E.N.C.,N Cntrl,10797630,1.3,2633,73.333305,20909,4108105,18.5023,45100,224,0,1,0,0
Oklahoma,W.S.C.,South,3025290,18.200001,441,67.26899,17668,1237040,31.661068,35600,214,0,0,1,0
Oregon,Pacific,West,2633105,25.9,274,67.918068,20027,1083285,45.449554,59000,257,0,0,0,1
Pennsylvania,Mid Atl,NE,11863895,.5,2643,69.293022,19995,4596431,17.040741,39100,225,1,0,0,0
Rhode Island,N. Eng.,NE,947154,-.2,8980,86.997894,19448,372672,17.307178,47000,222,1,0,0,0
S. Carolina,S. Atl.,South,3121820,20.5,1034,54.11116,16978,1153709,41.505737,35100,206,0,0,1,0
S. Dakota,W.N.C.,N Cntrl,690768,3.7,91,46.437733,15993,276997,22.882036,36600,188,0,1,0,0
Tennessee,E.S.C.,South,4591120,16.9,1116,60.411686,16564,1747422,34.263191,35600,203,0,0,1,0
Texas,W.S.C.,South,14229191,27.1,543,79.646248,19618,5549352,44.888256,39100,245,0,0,1,0
Utah,Mountain,West,1461037,37.900002,178,84.396217,20024,490006,55.180592,60000,235,0,0,0,1
Vermont,N. Eng.,NE,511456,15,552,33.77319,17205,223199,35.099358,42300,226,1,0,0,0
Virginia,S. Atl.,South,5346818,14.9,1347,66.009781,20018,2020941,35.276005,48100,259,0,0,1,0
W. Virginia,S. Atl.,South,1949644,11.8,808,36.176811,17308,747810,25.205521,38500,195,0,0,1,0
Washington,Pacific,West,4132156,21.1,621,73.497078,21696,1689450,38.26067,60700,254,0,0,0,1
Wisconsin,E.N.C.,N Cntrl,4705767,6.5,865,64.192131,20915,1863897,26.595745,48600,234,0,1,0,0
Wyoming,Mountain,West,469557,41.299999,48,62.748291,22430,188217,61.805489,60400,252,0,0,0,1
